@relation BlackBoxAuditing
@attribute checking_status {"no checking",>=200,0<=X<200,<0}
@attribute duration numeric
@attribute credit_history {"no credits/all paid","all paid","delayed previously","critical/other existing credit","existing paid"}
@attribute purpose {repairs,education,"used car",business,retraining,furniture/equipment,"domestic appliance","new car",other,radio/tv}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,>=1000,100<=X<500,"no known savings"}
@attribute employment {>=7,4<=X<7,unemployed,1<=X<4,<1}
@attribute installment_commitment numeric
@attribute personal_status {"female div/dep/mar","male single","male mar/wid","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"life insurance",car,"no known property","real estate"}
@attribute age_cat {old,young}
@attribute other_payment_plans {none,stores,bank}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unskilled resident","unemp/unskilled non res"}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {bad,good}

@data
"no checking",24,"existing paid",radio/tv,1533,<100,<1,4,"female div/dep/mar",none,3,car,old,stores,own,1,skilled,1,yes,yes,good
"no checking",24,"existing paid",radio/tv,999,"no known savings",>=7,4,"male single",none,2,car,young,none,own,2,skilled,1,none,yes,good
"no checking",12,"critical/other existing credit",furniture/equipment,1402,500<=X<1000,4<=X<7,3,"female div/dep/mar",none,4,car,old,none,rent,1,skilled,1,yes,yes,good
0<=X<200,48,"existing paid",radio/tv,3060,<100,4<=X<7,4,"male single",none,4,"real estate",old,none,own,2,skilled,1,none,yes,bad
<0,30,"existing paid",repairs,11998,<100,<1,1,"male div/sep",none,1,"no known property",old,none,own,1,"unskilled resident",1,yes,yes,bad
"no checking",9,"existing paid",radio/tv,2697,<100,1<=X<4,1,"male single",none,2,"real estate",old,none,own,1,skilled,2,none,yes,good
<0,12,"existing paid",furniture/equipment,1262,"no known savings",>=7,2,"male div/sep",none,4,"life insurance",old,none,own,1,"unskilled resident",1,yes,yes,good
"no checking",6,"existing paid",furniture/equipment,4611,<100,<1,1,"female div/dep/mar",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,bad
"no checking",24,"existing paid",radio/tv,1901,100<=X<500,1<=X<4,4,"male single",none,4,car,old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",15,"critical/other existing credit","used car",3368,>=1000,>=7,3,"male single",none,4,"no known property",young,none,rent,2,skilled,1,yes,yes,good
>=200,18,"all paid",radio/tv,1445,"no known savings",4<=X<7,4,"male single",none,4,car,old,bank,own,1,"unskilled resident",1,none,yes,good
"no checking",15,"critical/other existing credit",furniture/equipment,1520,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"critical/other existing credit","new car",3878,100<=X<500,<1,4,"male div/sep",none,2,car,old,none,own,1,skilled,1,yes,yes,good
<0,47,"existing paid","new car",10722,<100,<1,1,"female div/dep/mar",none,1,"real estate",old,none,own,1,"unskilled resident",1,yes,yes,good
<0,48,"existing paid","used car",4788,<100,4<=X<7,4,"male single",none,3,"life insurance",old,none,own,1,skilled,2,none,yes,good
0<=X<200,48,"delayed previously",other,7582,100<=X<500,unemployed,2,"male single",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,12,"existing paid",radio/tv,1092,<100,1<=X<4,4,"female div/dep/mar",guarantor,4,"real estate",old,none,own,2,skilled,1,yes,yes,good
"no checking",12,"existing paid",business,1076,<100,1<=X<4,2,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,yes,no,good
0<=X<200,36,"existing paid","used car",9398,<100,<1,1,"male mar/wid",none,4,car,old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
>=200,42,"critical/other existing credit","used car",4796,<100,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,good
"no checking",48,"critical/other existing credit",business,7629,"no known savings",>=7,4,"male div/sep",none,2,car,old,bank,own,2,"high qualif/self emp/mgmt",2,none,yes,good
0<=X<200,48,"existing paid",furniture/equipment,9960,<100,<1,1,"female div/dep/mar",none,2,car,old,none,own,1,skilled,1,yes,yes,bad
"no checking",10,"existing paid","new car",1287,"no known savings",>=7,4,"male single","co applicant",2,"life insurance",old,none,own,1,"unskilled resident",1,none,no,good
"no checking",18,"existing paid",furniture/equipment,2515,<100,1<=X<4,3,"male single",none,4,"real estate",old,none,own,1,skilled,1,yes,yes,good
0<=X<200,21,"critical/other existing credit",furniture/equipment,2745,>=1000,4<=X<7,3,"male single",none,2,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",6,"existing paid","new car",672,<100,unemployed,1,"female div/dep/mar",none,4,"real estate",old,none,own,1,"unemp/unskilled non res",1,yes,yes,good
0<=X<200,36,"no credits/all paid",radio/tv,3804,<100,1<=X<4,4,"female div/dep/mar",none,1,car,old,none,own,1,skilled,1,yes,yes,bad
>=200,24,"critical/other existing credit","new car",1344,"no known savings",4<=X<7,4,"male single",none,2,"real estate",old,bank,own,2,"unskilled resident",2,none,yes,bad
"no checking",6,"existing paid",furniture/equipment,1543,>=1000,1<=X<4,4,"male div/sep",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,12,"existing paid",radio/tv,727,100<=X<500,<1,4,"male mar/wid",none,3,"no known property",old,none,own,1,"unskilled resident",1,yes,yes,bad
0<=X<200,8,"existing paid",furniture/equipment,1237,<100,1<=X<4,3,"female div/dep/mar",none,4,"real estate",young,none,own,1,skilled,1,none,yes,bad
0<=X<200,9,"existing paid","new car",276,<100,1<=X<4,4,"male mar/wid",none,4,"real estate",young,none,rent,1,"unskilled resident",1,none,yes,good
0<=X<200,48,"existing paid",other,5381,"no known savings",unemployed,3,"male single",none,4,"no known property",old,bank,"for free",1,"unemp/unskilled non res",1,yes,yes,good
"no checking",24,"existing paid",furniture/equipment,5511,100<=X<500,1<=X<4,4,"male single",none,1,car,young,stores,own,1,skilled,1,none,yes,good
>=200,24,"existing paid",furniture/equipment,3749,<100,<1,2,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid","new car",685,<100,4<=X<7,2,"male mar/wid",none,3,car,young,bank,own,1,"unskilled resident",1,none,yes,bad
<0,36,"all paid",furniture/equipment,2746,<100,>=7,4,"male single",none,4,car,old,bank,own,1,skilled,1,none,yes,bad
<0,12,"existing paid",furniture/equipment,708,<100,1<=X<4,2,"male single",guarantor,3,"life insurance",old,none,own,1,"unskilled resident",2,none,yes,good
0<=X<200,24,"existing paid",furniture/equipment,4351,"no known savings",1<=X<4,1,"female div/dep/mar",none,4,"life insurance",old,none,own,1,"unskilled resident",1,yes,yes,good
"no checking",12,"critical/other existing credit",education,701,<100,1<=X<4,4,"male single",none,2,car,old,none,own,2,skilled,1,none,yes,good
0<=X<200,30,"critical/other existing credit","new car",4249,<100,unemployed,4,"male mar/wid",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,none,yes,bad
<0,24,"existing paid",radio/tv,1938,<100,<1,4,"male div/sep",none,3,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,18,"existing paid",furniture/equipment,2659,>=1000,1<=X<4,4,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
"no checking",18,"critical/other existing credit","new car",1028,<100,1<=X<4,4,"female div/dep/mar",none,3,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",24,"existing paid","new car",1525,>=1000,4<=X<7,4,"female div/dep/mar",none,3,car,old,none,own,1,skilled,2,yes,yes,good
0<=X<200,6,"existing paid",radio/tv,1068,<100,>=7,4,"male single",none,4,car,old,none,own,1,skilled,2,none,yes,good
<0,24,"critical/other existing credit","used car",6615,<100,unemployed,2,"male single",none,4,"no known property",old,none,"for free",2,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",18,"critical/other existing credit",education,1864,100<=X<500,1<=X<4,4,"female div/dep/mar",none,2,"real estate",old,none,own,2,skilled,1,none,yes,bad
0<=X<200,60,"existing paid","new car",7408,100<=X<500,<1,4,"female div/dep/mar",none,2,"life insurance",young,none,own,1,"high qualif/self emp/mgmt",1,none,yes,bad
<0,24,"no credits/all paid",furniture/equipment,4110,<100,>=7,3,"male single",none,4,"no known property",young,bank,rent,2,skilled,2,none,yes,bad
<0,6,"critical/other existing credit",furniture/equipment,3384,<100,1<=X<4,1,"male div/sep",none,4,"real estate",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,24,"existing paid",furniture/equipment,4169,<100,1<=X<4,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,21,"existing paid",furniture/equipment,3599,<100,4<=X<7,1,"female div/dep/mar",none,4,car,old,none,rent,1,"unskilled resident",1,none,yes,good
0<=X<200,18,"existing paid",radio/tv,3213,500<=X<1000,<1,1,"male mar/wid",none,3,"real estate",young,none,rent,1,skilled,1,none,yes,good
0<=X<200,18,"existing paid",business,4439,<100,>=7,1,"male single","co applicant",1,"real estate",old,bank,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",15,"critical/other existing credit",radio/tv,1459,<100,1<=X<4,4,"female div/dep/mar",none,2,car,old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,13,"critical/other existing credit",radio/tv,882,<100,<1,4,"male single",guarantor,4,"real estate",young,none,own,2,skilled,1,none,yes,good
"no checking",9,"existing paid","domestic appliance",1236,<100,<1,1,"female div/dep/mar",none,4,"real estate",young,none,rent,1,skilled,1,yes,yes,good
<0,12,"no credits/all paid",radio/tv,6199,<100,1<=X<4,4,"male single",none,2,"life insurance",old,none,rent,2,skilled,1,yes,yes,bad
"no checking",10,"existing paid",education,727,500<=X<1000,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit",radio/tv,2331,"no known savings",>=7,1,"male single","co applicant",4,"real estate",old,none,own,1,skilled,1,yes,yes,good
"no checking",36,"delayed previously",radio/tv,4463,<100,1<=X<4,4,"male single",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",12,"existing paid",radio/tv,776,<100,1<=X<4,4,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,18,"existing paid",education,1239,"no known savings",1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,good
"no checking",6,"existing paid",furniture/equipment,1766,<100,1<=X<4,1,"male mar/wid",none,2,"life insurance",young,none,rent,1,skilled,1,none,yes,good
<0,18,"existing paid",furniture/equipment,2473,<100,unemployed,4,"male single",none,1,car,young,none,own,1,"unemp/unskilled non res",1,none,yes,bad
"no checking",18,"critical/other existing credit","used car",3850,<100,4<=X<7,3,"male single",none,1,car,old,none,own,2,skilled,1,none,yes,good
<0,36,"existing paid",furniture/equipment,3446,<100,>=7,4,"male single",none,2,car,old,none,own,1,skilled,2,none,yes,bad
0<=X<200,18,"existing paid",furniture/equipment,3001,<100,4<=X<7,2,"female div/dep/mar",none,4,"real estate",old,none,rent,1,skilled,1,none,yes,good
"no checking",36,"existing paid","new car",3079,"no known savings",1<=X<4,4,"male single",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",18,"critical/other existing credit",radio/tv,6070,<100,>=7,3,"male single",none,4,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",10,"critical/other existing credit",furniture/equipment,2146,<100,<1,1,"female div/dep/mar",none,3,"real estate",young,none,rent,2,skilled,1,none,yes,good
"no checking",60,"critical/other existing credit","new car",13756,"no known savings",>=7,2,"male single",none,4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,48,"all paid",business,7685,<100,4<=X<7,2,"female div/dep/mar",guarantor,4,car,old,none,rent,1,skilled,1,none,yes,bad
"no checking",7,"delayed previously",radio/tv,846,"no known savings",>=7,3,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,good
"no checking",6,"critical/other existing credit","new car",362,100<=X<500,1<=X<4,4,"female div/dep/mar",none,4,car,old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",22,"existing paid","new car",1283,"no known savings",4<=X<7,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
"no checking",30,"delayed previously",business,4272,100<=X<500,1<=X<4,2,"male single",none,2,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",18,"existing paid",radio/tv,1126,"no known savings",<1,4,"female div/dep/mar",none,2,"real estate",young,none,rent,1,skilled,1,yes,yes,good
0<=X<200,18,"critical/other existing credit",furniture/equipment,7374,<100,unemployed,4,"male single",none,4,"life insurance",old,stores,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,15,"critical/other existing credit",business,2326,500<=X<1000,1<=X<4,2,"male single",none,4,car,old,bank,own,1,skilled,1,none,yes,good
"no checking",9,"existing paid",business,1449,<100,4<=X<7,3,"female div/dep/mar",none,2,car,old,none,own,2,skilled,1,none,yes,good
0<=X<200,12,"existing paid",furniture/equipment,983,>=1000,<1,1,"female div/dep/mar",none,4,"real estate",young,none,rent,1,"unskilled resident",1,none,yes,good
<0,36,"existing paid","new car",3249,<100,4<=X<7,2,"male single",none,4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",2,yes,yes,good
<0,6,"critical/other existing credit",radio/tv,1957,<100,4<=X<7,1,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,none,yes,good
"no checking",9,"critical/other existing credit",furniture/equipment,2406,<100,unemployed,2,"male single",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,none,yes,good
<0,12,"existing paid",furniture/equipment,2578,<100,unemployed,3,"female div/dep/mar",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,none,yes,good
<0,36,"critical/other existing credit",furniture/equipment,2348,<100,1<=X<4,3,"male mar/wid",none,2,"life insurance",old,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,"existing paid","new car",1223,<100,>=7,1,"male div/sep",none,1,"real estate",old,none,rent,2,skilled,1,none,yes,bad
"no checking",18,"existing paid",radio/tv,1473,<100,<1,3,"male mar/wid",none,4,"real estate",old,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,"critical/other existing credit",business,1887,"no known savings",1<=X<4,4,"male mar/wid",none,4,"real estate",old,bank,own,2,skilled,1,none,yes,good
"no checking",24,"delayed previously",business,8648,<100,<1,2,"male single",none,2,car,old,bank,own,2,skilled,1,yes,yes,bad
"no checking",14,"delayed previously","new car",802,<100,1<=X<4,4,"male single",none,2,car,old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,24,"existing paid",radio/tv,2039,<100,<1,1,"male mar/wid",none,1,"life insurance",young,none,own,1,skilled,1,yes,yes,bad
"no checking",24,"critical/other existing credit","used car",2197,"no known savings",4<=X<7,4,"male single",none,4,car,old,none,own,2,skilled,2,yes,yes,good
<0,15,"existing paid",radio/tv,1053,<100,<1,4,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,none,no,good
"no checking",24,"existing paid",radio/tv,3235,500<=X<1000,>=7,3,"male div/sep",none,2,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
>=200,12,"critical/other existing credit","new car",939,500<=X<1000,4<=X<7,4,"male mar/wid",none,2,"real estate",old,none,own,3,skilled,1,yes,yes,bad
0<=X<200,24,"existing paid",radio/tv,1967,<100,>=7,4,"female div/dep/mar",none,4,car,young,none,own,1,skilled,1,yes,yes,good
"no checking",33,"critical/other existing credit","used car",7253,<100,4<=X<7,3,"male single",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
<0,24,"existing paid","new car",1381,"no known savings",1<=X<4,4,"female div/dep/mar",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,12,"existing paid","new car",2579,<100,<1,4,"male single",none,1,"real estate",old,none,own,1,"unskilled resident",2,none,yes,bad
0<=X<200,18,"existing paid","new car",1042,"no known savings",1<=X<4,4,"female div/dep/mar",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
"no checking",15,"existing paid","new car",3186,>=1000,4<=X<7,2,"female div/dep/mar",none,3,car,young,none,rent,1,skilled,1,none,yes,good
0<=X<200,12,"critical/other existing credit","new car",958,<100,4<=X<7,2,"male single",none,3,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
"no checking",21,"delayed previously",furniture/equipment,1591,100<=X<500,4<=X<7,4,"male single",none,3,"real estate",old,none,own,2,"high qualif/self emp/mgmt",1,none,yes,good
0<=X<200,18,"existing paid","used car",2779,<100,1<=X<4,1,"male mar/wid",none,3,car,young,none,rent,1,skilled,1,yes,yes,good
"no checking",18,"critical/other existing credit",radio/tv,1149,>=1000,1<=X<4,4,"male single",none,3,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",9,"existing paid",furniture/equipment,1313,<100,>=7,1,"male single",none,4,car,young,none,own,1,skilled,1,none,yes,good
<0,18,"critical/other existing credit",repairs,1190,<100,unemployed,2,"female div/dep/mar",none,4,"no known property",old,none,"for free",3,"unemp/unskilled non res",2,none,yes,bad
"no checking",5,"existing paid",business,3448,<100,4<=X<7,1,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
<0,6,"critical/other existing credit",furniture/equipment,1872,<100,unemployed,4,"male single",none,4,"no known property",old,none,"for free",3,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"critical/other existing credit",repairs,2058,<100,1<=X<4,4,"male div/sep",none,2,"real estate",old,none,own,2,skilled,1,yes,yes,good
<0,9,"existing paid",furniture/equipment,2136,<100,1<=X<4,3,"male single",none,2,"real estate",young,none,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid",radio/tv,1484,"no known savings",1<=X<4,2,"male mar/wid",none,1,"real estate",young,none,own,1,skilled,1,yes,yes,bad
"no checking",6,"existing paid",repairs,660,500<=X<1000,4<=X<7,2,"male mar/wid",none,4,"real estate",young,none,rent,1,"unskilled resident",1,none,yes,good
"no checking",24,"critical/other existing credit","new car",1287,>=1000,>=7,4,"female div/dep/mar",none,4,"real estate",old,none,own,2,skilled,1,yes,yes,good
<0,42,"critical/other existing credit",repairs,3394,<100,unemployed,4,"male single","co applicant",4,car,old,none,own,2,"unemp/unskilled non res",1,none,yes,good
"no checking",12,"existing paid",education,719,<100,>=7,4,"male single",none,4,car,old,bank,own,1,"unskilled resident",2,none,yes,bad
0<=X<200,48,"critical/other existing credit",furniture/equipment,5096,<100,1<=X<4,2,"female div/dep/mar",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",9,"critical/other existing credit",education,1244,"no known savings",>=7,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,2,"unskilled resident",1,none,yes,good
0<=X<200,7,"existing paid",radio/tv,2576,<100,1<=X<4,2,"male single",guarantor,2,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",36,"critical/other existing credit","used car",11054,"no known savings",1<=X<4,4,"male single",none,2,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",6,"existing paid",radio/tv,518,<100,1<=X<4,3,"female div/dep/mar",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",24,"existing paid","used car",2670,<100,>=7,4,"male single",none,4,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"existing paid","used car",2679,<100,<1,4,"female div/dep/mar",none,1,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,11,"critical/other existing credit","new car",3905,<100,1<=X<4,2,"male single",none,2,"real estate",old,none,rent,2,skilled,2,none,yes,good
<0,12,"existing paid","used car",3386,<100,>=7,3,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,yes,yes,bad
<0,6,"existing paid","domestic appliance",343,<100,<1,4,"female div/dep/mar",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,36,"existing paid",furniture/equipment,3620,<100,1<=X<4,1,"male single",guarantor,2,"life insurance",old,none,own,1,skilled,2,none,yes,good
<0,15,"existing paid","new car",1721,<100,<1,2,"male single",none,3,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid",furniture/equipment,3017,<100,<1,3,"female div/dep/mar",none,1,"real estate",old,none,rent,1,"high qualif/self emp/mgmt",1,none,yes,good
<0,24,"delayed previously",radio/tv,1659,<100,<1,4,"female div/dep/mar",none,2,car,old,none,rent,1,"unskilled resident",1,yes,yes,bad
"no checking",48,"delayed previously",radio/tv,7238,"no known savings",>=7,3,"male single",none,3,car,old,bank,own,2,skilled,2,none,yes,good
"no checking",33,"delayed previously",business,2764,<100,1<=X<4,2,"female div/dep/mar",none,2,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",24,"delayed previously","used car",4679,<100,4<=X<7,3,"male single",none,3,car,old,none,own,2,"unskilled resident",1,yes,yes,good
0<=X<200,24,"existing paid",radio/tv,3092,100<=X<500,<1,3,"male mar/wid",none,2,car,young,none,rent,1,skilled,1,yes,yes,bad
<0,18,"no credits/all paid",furniture/equipment,3114,<100,<1,1,"female div/dep/mar",none,4,"life insurance",old,none,rent,1,skilled,1,none,yes,bad
>=200,24,"existing paid",radio/tv,5152,<100,4<=X<7,4,"male single",none,2,car,young,bank,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid",business,1037,100<=X<500,4<=X<7,3,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
<0,15,"critical/other existing credit",furniture/equipment,1478,<100,>=7,4,"male single",none,4,car,old,none,own,2,skilled,2,yes,yes,good
0<=X<200,24,"existing paid","new car",1201,<100,<1,4,"male single",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,30,"existing paid",furniture/equipment,3622,>=1000,>=7,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,2,skilled,1,yes,yes,good
"no checking",15,"delayed previously",furniture/equipment,960,>=1000,4<=X<7,3,"female div/dep/mar",none,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",12,"existing paid",radio/tv,3077,<100,1<=X<4,2,"male single",none,4,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",6,"existing paid","new car",3518,<100,1<=X<4,2,"male single",guarantor,3,"life insurance",old,none,rent,1,skilled,1,none,yes,good
"no checking",6,"critical/other existing credit",radio/tv,1237,100<=X<500,1<=X<4,1,"female div/dep/mar",none,1,"life insurance",old,none,own,2,skilled,1,none,yes,good
0<=X<200,6,"existing paid",radio/tv,368,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,12,"critical/other existing credit","new car",2122,<100,1<=X<4,3,"male single",none,2,"real estate",old,none,rent,2,"unskilled resident",2,none,no,good
<0,24,"existing paid",furniture/equipment,2996,"no known savings",1<=X<4,2,"male mar/wid",none,4,car,young,none,own,1,skilled,1,none,yes,bad
"no checking",24,"critical/other existing credit",furniture/equipment,1585,<100,4<=X<7,4,"male single",none,3,"life insurance",old,none,own,2,skilled,1,none,yes,good
0<=X<200,18,"existing paid",radio/tv,1301,<100,>=7,4,"male mar/wid",guarantor,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
>=200,6,"critical/other existing credit","new car",1323,100<=X<500,>=7,2,"male div/sep",none,4,car,old,none,own,2,skilled,2,yes,yes,good
<0,24,"existing paid","new car",3123,<100,<1,4,"female div/dep/mar",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,36,"existing paid","used car",5493,<100,>=7,2,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,none,yes,good
>=200,9,"existing paid",radio/tv,1126,100<=X<500,>=7,2,"male div/sep",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"critical/other existing credit",radio/tv,1216,100<=X<500,<1,4,"male single",none,4,"no known property",old,bank,own,2,skilled,2,none,yes,bad
>=200,15,"critical/other existing credit","used car",2360,500<=X<1000,1<=X<4,2,"male single",none,2,car,old,none,own,1,skilled,1,yes,yes,good
0<=X<200,15,"all paid","new car",6850,100<=X<500,unemployed,1,"male single",none,2,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",2,yes,yes,bad
"no checking",24,"existing paid",radio/tv,1413,<100,1<=X<4,4,"male mar/wid",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,good
"no checking",39,"existing paid","used car",8588,100<=X<500,>=7,4,"male single",none,2,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,12,"existing paid","new car",759,<100,4<=X<7,4,"male single",none,2,"real estate",old,none,own,1,skilled,1,none,yes,bad
"no checking",36,"existing paid","used car",4686,<100,1<=X<4,2,"male single",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
>=200,15,"existing paid",business,2687,<100,4<=X<7,2,"male single",none,4,"life insurance",old,none,rent,1,skilled,1,yes,yes,good
0<=X<200,12,"delayed previously",radio/tv,585,<100,1<=X<4,4,"male mar/wid","co applicant",4,"real estate",young,none,rent,2,skilled,1,none,yes,good
<0,6,"critical/other existing credit","new car",609,<100,4<=X<7,4,"female div/dep/mar",none,3,"life insurance",old,none,own,2,skilled,1,none,no,good
<0,6,"critical/other existing credit","new car",1361,<100,<1,2,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",2,none,no,good
"no checking",6,"critical/other existing credit",radio/tv,700,"no known savings",>=7,4,"male single",none,4,"no known property",old,none,"for free",2,skilled,1,none,yes,good
<0,18,"existing paid",radio/tv,3190,<100,1<=X<4,2,"female div/dep/mar",none,2,"real estate",young,none,own,1,skilled,1,none,yes,bad
<0,48,"no credits/all paid",furniture/equipment,7119,<100,1<=X<4,3,"male single",none,4,"no known property",old,none,"for free",2,skilled,2,none,yes,bad
0<=X<200,18,"existing paid",radio/tv,1113,<100,1<=X<4,4,"female div/dep/mar",guarantor,4,"real estate",old,none,own,1,"unskilled resident",2,none,yes,good
"no checking",15,"critical/other existing credit",education,1532,100<=X<500,1<=X<4,4,"female div/dep/mar",none,3,car,old,none,own,1,skilled,1,none,yes,good
"no checking",4,"critical/other existing credit",radio/tv,1503,<100,4<=X<7,2,"male single",none,1,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
<0,36,"existing paid",radio/tv,2302,<100,1<=X<4,4,"male div/sep",none,4,car,old,none,rent,1,skilled,1,none,yes,bad
<0,6,"existing paid","new car",662,<100,<1,3,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",2,yes,yes,good
0<=X<200,15,"existing paid","new car",2631,100<=X<500,1<=X<4,2,"female div/dep/mar",none,4,car,old,none,rent,2,skilled,1,yes,yes,bad
"no checking",12,"delayed previously","used car",1503,<100,1<=X<4,4,"male mar/wid",none,4,"real estate",old,none,rent,1,skilled,1,none,yes,good
"no checking",24,"existing paid",radio/tv,3105,"no known savings",<1,4,"male single",none,2,car,young,none,own,2,skilled,1,none,yes,good
<0,6,"existing paid","new car",1374,"no known savings",unemployed,4,"female div/dep/mar",none,3,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,18,"critical/other existing credit",furniture/equipment,3612,<100,>=7,3,"female div/dep/mar",none,4,"life insurance",old,none,own,1,skilled,1,yes,yes,good
>=200,18,"existing paid",furniture/equipment,3049,<100,<1,1,"female div/dep/mar",none,1,"life insurance",old,stores,own,1,"unskilled resident",1,none,yes,good
0<=X<200,12,"existing paid",radio/tv,1534,<100,<1,1,"male mar/wid",none,1,"real estate",young,none,rent,1,skilled,1,none,yes,bad
>=200,18,"existing paid",furniture/equipment,2864,<100,1<=X<4,2,"male single",none,1,"real estate",old,none,own,1,"unskilled resident",2,none,yes,bad
