Feature_A_(i),Feature_A_(i)-noFeature_A_(i),Feature_B_(2i),Feature_B_(2i)-noFeature_A_(i),Feature_C_(-i),Feature_C_(-i)-noFeature_A_(i),Constant_Feature,Constant_Feature-noFeature_A_(i),Random_Feature,Random_Feature-noFeature_A_(i),Outcome,Outcome-noFeature_A_(i)
1771,4787,3542,6180,-1771,-3091,1,1,0.9229705237391328,0.8844562399641169,A,A
1772,4787,3544,6180,-1772,-3091,1,1,0.8727709742883908,0.81093086149687,A,A
1774,4787,3548,6192,-1774,-3096,1,1,0.5316755466093728,0.5184576116122209,A,A
1776,4787,3552,6192,-1776,-3096,1,1,0.38742337630688684,0.36326959483172827,A,A
1777,4787,3554,6192,-1777,-3096,1,1,0.5057109052103254,0.4863973973956013,A,A
1778,4787,3556,6202,-1778,-3102,1,1,0.5364676566761873,0.5184576116122209,A,A
1779,4787,3558,6202,-1779,-3102,1,1,0.6732045015174335,0.6567225731105883,A,A
1780,4787,3560,6202,-1780,-3102,1,1,0.06590615116905663,0.06575410935862658,A,A
1781,4787,3562,6202,-1781,-3102,1,1,0.4254276922505288,0.41436990175995514,A,A
1782,4787,3564,6202,-1782,-3102,1,1,0.6637914523066742,0.6403485791625139,A,A
1783,4787,3566,6202,-1783,-3102,1,1,0.9550341436004985,0.9358892092224953,A,A
1785,4787,3570,6214,-1785,-3108,1,1,0.7542210657897184,0.7248533491587095,A,A
1786,4787,3572,6214,-1786,-3108,1,1,0.5269624387843885,0.5057843245177359,A,A
1788,4787,3576,6214,-1788,-3108,1,1,0.16123217000985024,0.17573684250755928,A,A
1789,4787,3578,6214,-1789,-3108,1,1,0.8668836412055324,0.81093086149687,A,A
1791,4787,3582,6226,-1791,-3114,1,1,0.4946843826442069,0.4686479736942557,A,A
1792,4787,3584,6226,-1792,-3114,1,1,0.2201948018678438,0.23139716590926385,A,A
1793,4787,3586,6226,-1793,-3114,1,1,0.910413810989292,0.8483288367488273,A,A
1795,4787,3590,6226,-1795,-3114,1,1,0.20825632823401374,0.23139716590926385,A,A
1798,4787,3596,6238,-1798,-3120,1,1,0.9067238404916425,0.8483288367488273,A,A
1799,4787,3598,6238,-1799,-3120,1,1,0.9531142772377286,0.9155804834289545,A,A
1800,4787,3600,6238,-1800,-3120,1,1,0.07848752472093012,0.08139052448728146,A,A
1801,4787,3602,6238,-1801,-3120,1,1,0.9926132617110691,0.9867277963524416,A,A
1802,4787,3604,6250,-1802,-3125,1,1,0.9544134615396381,0.9358892092224953,A,A
1803,4787,3606,6250,-1803,-3125,1,1,0.6477974391190868,0.6185616736968093,A,A
1804,4787,3608,6250,-1804,-3125,1,1,0.4716800333435003,0.45443658440763757,A,A
1805,4787,3610,6250,-1805,-3125,1,1,0.18513987923672703,0.18991284810616926,A,A
1810,4787,3620,6260,-1810,-3131,1,1,0.6614716152547626,0.6403485791625139,A,A
1811,4787,3622,6260,-1811,-3131,1,1,0.3131360646579948,0.30887378737929305,A,A
1812,4787,3624,6260,-1812,-3131,1,1,0.538455266238793,0.5184576116122209,A,A
1814,4787,3628,6272,-1814,-3137,1,1,0.9654090664369791,0.9556519694980462,A,A
1815,4787,3630,6272,-1815,-3137,1,1,0.9692932650515171,0.9556519694980462,A,A
1816,4787,3632,6272,-1816,-3137,1,1,0.3066175248469335,0.30887378737929305,A,A
1820,4787,3640,6284,-1820,-3143,1,1,0.39919199304329944,0.3838453928986345,A,A
1822,4787,3644,6284,-1822,-3143,1,1,0.988816934533461,0.9867277963524416,A,A
1823,4787,3646,6284,-1823,-3143,1,1,0.03516897247142614,0.02540337192260267,A,A
1824,4787,3648,6284,-1824,-3143,1,1,0.9162562729411368,0.8844562399641169,A,A
1825,4787,3650,6296,-1825,-3148,1,1,0.6117294106382596,0.5970130310756897,A,A
1828,4787,3656,6296,-1828,-3148,1,1,0.9718883183568378,0.9556519694980462,A,A
1829,4787,3658,6296,-1829,-3148,1,1,0.2826245348823605,0.2705870793149804,A,A
1831,4787,3662,6306,-1831,-3154,1,1,0.11748296826463478,0.11766008071769851,A,A
1833,4787,3666,6306,-1833,-3154,1,1,0.7987924940437099,0.7650504588350444,A,A
1834,4787,3668,6306,-1834,-3154,1,1,0.4748755221055446,0.45443658440763757,A,A
1836,4787,3672,6318,-1836,-3160,1,1,0.43053196351209244,0.41436990175995514,A,A
1839,4787,3678,6318,-1839,-3160,1,1,0.6741307886742445,0.6567225731105883,A,A
1841,4787,3682,6318,-1841,-3160,1,1,0.6725217525634334,0.6403485791625139,A,A
1842,4787,3684,6330,-1842,-3166,1,1,0.38174418886816075,0.36326959483172827,A,A
1843,4787,3686,6330,-1843,-3166,1,1,0.7725621804404321,0.7650504588350444,A,A
1845,4787,3690,6330,-1845,-3166,1,1,0.9513435339735716,0.9155804834289545,A,A
1847,4787,3694,6330,-1847,-3166,1,1,0.2526040062536443,0.2705870793149804,A,A
1848,4787,3696,6342,-1848,-3172,1,1,0.4684785718329494,0.43084017934406293,A,A
1850,4787,3700,6342,-1850,-3172,1,1,0.09814072365684245,0.09584927697217083,A,A
1851,4787,3702,6342,-1851,-3172,1,1,0.37802729985015926,0.36326959483172827,A,A
1853,4787,3706,6342,-1853,-3172,1,1,0.9330985806791643,0.897897211542344,A,A
1858,4787,3716,6354,-1858,-3177,1,1,0.8120131111426999,0.7752105467541478,A,A
1860,4787,3720,6364,-1860,-3183,1,1,0.9128613465312353,0.8659373859054671,A,A
1862,4787,3724,6364,-1862,-3183,1,1,0.12199034714213353,0.11766008071769851,A,A
1863,4787,3726,6364,-1863,-3183,1,1,0.9560695370131472,0.9358892092224953,A,A
1864,4787,3728,6364,-1864,-3183,1,1,0.06016438947443925,0.046636926221635844,A,A
1865,4787,3730,6376,-1865,-3189,1,1,0.6647222760234254,0.6403485791625139,A,A
1867,4787,3734,6376,-1867,-3189,1,1,0.5471430246929814,0.5287072142744291,A,A
1869,4787,3738,6376,-1869,-3189,1,1,0.09104335891696957,0.09584927697217083,A,A
1871,4787,3742,6388,-1871,-3195,1,1,0.5943417939759144,0.5603876811308924,A,A
1873,4787,3746,6388,-1873,-3195,1,1,0.09349937952598242,0.09584927697217083,A,A
1874,4787,3748,6388,-1874,-3195,1,1,0.180761356258898,0.18991284810616926,A,A
1875,4787,3750,6388,-1875,-3195,1,1,0.6932795576787727,0.6676345312549455,A,A
1876,4787,3752,6388,-1876,-3195,1,1,0.38820244889665334,0.36326959483172827,A,A
1878,4787,3756,6400,-1878,-3201,1,1,0.9112009952648356,0.8659373859054671,A,A
1880,4787,3760,6400,-1880,-3201,1,1,0.5677667994580042,0.5437811418999469,A,A
1882,4787,3764,6400,-1882,-3201,1,1,0.503584793668734,0.4863973973956013,A,A
1883,4787,3766,6412,-1883,-3206,1,1,0.8408138246091176,0.7978402972390728,A,A
1885,4787,3770,6412,-1885,-3206,1,1,0.9539635999909925,0.9155804834289545,A,A
1886,4787,3772,6412,-1886,-3206,1,1,0.679885734760249,0.6567225731105883,A,A
1887,4787,3774,6412,-1887,-3206,1,1,0.44367321643274404,0.43084017934406293,A,A
1890,4787,3780,6422,-1890,-3212,1,1,0.1948684021450814,0.20479149534265284,A,A
1891,4787,3782,6422,-1891,-3212,1,1,0.33214473194733085,0.33085674641798635,A,A
1892,4787,3784,6422,-1892,-3212,1,1,0.40857562751710885,0.3994271172644791,A,A
1894,4787,3788,6434,-1894,-3218,1,1,0.7601349005866322,0.74048802736636,A,A
1895,4787,3790,6434,-1895,-3218,1,1,0.8169395778127655,0.7752105467541478,A,A
1896,4787,3792,6434,-1896,-3218,1,1,0.04084684579358411,0.02540337192260267,A,A
1901,4787,3802,6446,-1901,-3224,1,1,0.5377018842009144,0.5184576116122209,A,A
1902,4787,3804,6446,-1902,-3224,1,1,0.17407294504427884,0.18991284810616926,A,A
1906,4787,3812,6458,-1906,-3230,1,1,0.276225127454683,0.2705870793149804,A,A
1907,4787,3814,6458,-1907,-3230,1,1,0.5087677992102988,0.4863973973956013,A,A
1908,4787,3816,6458,-1908,-3230,1,1,0.2543623600354489,0.2705870793149804,A,A
1910,4787,3820,6458,-1910,-3230,1,1,0.11115286073891939,0.11766008071769851,A,A
1912,4787,3824,6470,-1912,-3235,1,1,0.9298882355254885,0.897897211542344,A,A
1914,4787,3828,6470,-1914,-3235,1,1,0.5807153737851637,0.5437811418999469,A,A
1915,4787,3830,6470,-1915,-3235,1,1,0.8415975861349929,0.7978402972390728,A,A
1916,4787,3832,6470,-1916,-3235,1,1,0.9314841115947514,0.897897211542344,A,A
1919,4787,3838,6480,-1919,-3241,1,1,0.15147958824928232,0.17573684250755928,A,A
1921,4787,3842,6480,-1921,-3241,1,1,0.9715069034774207,0.9556519694980462,A,A
1923,4787,3846,6492,-1923,-3247,1,1,0.8955215340748105,0.836604570279811,A,A
1924,4787,3848,6492,-1924,-3247,1,1,0.19621820521202626,0.2200783515824032,A,A
1925,4787,3850,6492,-1925,-3247,1,1,0.6022981086338753,0.5738128596868537,A,A
1926,4787,3852,6492,-1926,-3247,1,1,0.49244797829934006,0.4686479736942557,A,A
1927,4787,3854,6492,-1927,-3247,1,1,0.7077726274397098,0.6865687000926515,A,A
1928,4787,3856,6492,-1928,-3247,1,1,0.9787243636558854,0.9708335991200716,A,A
1929,4787,3858,6504,-1929,-3253,1,1,0.8614386764224766,0.7978402972390728,A,A
1930,4787,3860,6504,-1930,-3253,1,1,0.18673138462854455,0.20479149534265284,A,A
1932,4787,3864,6504,-1932,-3253,1,1,0.38189953828092027,0.36326959483172827,A,A
1933,4787,3866,6504,-1933,-3253,1,1,0.3923354169771175,0.3838453928986345,A,A
1934,4787,3868,6504,-1934,-3253,1,1,0.19465534881112867,0.20479149534265284,A,A
1935,4787,3870,6516,-1935,-3258,1,1,0.5812565030687853,0.5603876811308924,A,A
1936,4787,3872,6516,-1936,-3258,1,1,0.7149354557179358,0.6865687000926515,A,A
1938,4787,3876,6516,-1938,-3258,1,1,0.6300226260674405,0.5970130310756897,A,A
1941,4787,3882,6526,-1941,-3264,1,1,0.12256764555366051,0.14001508031831478,A,A
1942,4787,3884,6526,-1942,-3264,1,1,0.19425593120928453,0.20479149534265284,A,A
1943,4787,3886,6526,-1943,-3264,1,1,0.28267001036749506,0.2705870793149804,A,A
1944,4787,3888,6526,-1944,-3264,1,1,0.8278236061718143,0.7752105467541478,A,A
1946,4787,3892,6538,-1946,-3270,1,1,0.6944511321718986,0.6676345312549455,A,A
1947,4787,3894,6538,-1947,-3270,1,1,0.2934834344827334,0.29312155847436416,A,A
1949,4787,3898,6538,-1949,-3270,1,1,0.41681259077826593,0.3994271172644791,A,A
1950,4787,3900,6538,-1950,-3270,1,1,0.23864417048565623,0.2556376638625464,A,A
1954,4787,3908,6550,-1954,-3276,1,1,0.07522454865778105,0.08139052448728146,A,A
1955,4787,3910,6550,-1955,-3276,1,1,0.613523487687339,0.5970130310756897,A,A
1956,4787,3912,6550,-1956,-3276,1,1,0.021486747329841904,0.009431753548861166,A,A
1958,4787,3916,6562,-1958,-3282,1,1,0.7714179930238514,0.74048802736636,A,A
1959,4787,3918,6562,-1959,-3282,1,1,0.3402273098625448,0.33085674641798635,A,A
1960,4787,3920,6562,-1960,-3282,1,1,0.7529346548230224,0.7248533491587095,A,A
1962,4787,3924,6562,-1962,-3282,1,1,0.2520345186660663,0.2556376638625464,A,A
1963,4787,3926,6562,-1963,-3282,1,1,0.5869780402732033,0.5603876811308924,A,A
1964,4787,3928,6574,-1964,-3287,1,1,0.1988188226361156,0.2200783515824032,A,A
1969,4787,3938,6584,-1969,-3293,1,1,0.9723207603274087,0.9708335991200716,A,A
1971,4787,3942,6584,-1971,-3293,1,1,0.7951506706191053,0.7650504588350444,A,A
1972,4787,3944,6584,-1972,-3293,1,1,0.30491119929029387,0.29312155847436416,A,A
1973,4787,3946,6584,-1973,-3293,1,1,0.8974411071749718,0.8483288367488273,A,A
1975,4787,3950,6596,-1975,-3299,1,1,0.5285132247499348,0.5057843245177359,A,A
1976,4787,3952,6596,-1976,-3299,1,1,0.583547561838019,0.5603876811308924,A,A
1977,4787,3954,6596,-1977,-3299,1,1,0.15112398703053753,0.1556084896784825,A,A
1978,4787,3956,6596,-1978,-3299,1,1,0.8946901087318754,0.836604570279811,A,A
1983,4787,3966,5948,-1983,-2975,1,1,0.49077757760834395,0.5057843245177359,A,A
1986,4787,3972,5948,-1986,-2975,1,1,0.5963435592281614,0.5970130310756897,A,A
1987,4787,3974,5960,-1987,-2981,1,1,0.31639543157027383,0.30887378737929305,A,A
1989,4787,3978,5960,-1989,-2981,1,1,0.5124821693648663,0.5437811418999469,A,A
1990,4787,3980,5960,-1990,-2981,1,1,0.37296695447714134,0.3994271172644791,A,A
1993,4787,3986,5972,-1993,-2986,1,1,0.9558104774901678,0.9358892092224953,A,A
1994,4787,3988,5972,-1994,-2986,1,1,0.2696082176213761,0.2705870793149804,A,A
1995,4787,3990,5972,-1995,-2986,1,1,0.9093757611049985,0.897897211542344,A,A
1996,4787,3992,5972,-1996,-2986,1,1,0.2122799682469355,0.2200783515824032,A,A
1997,4787,3994,5972,-1997,-2986,1,1,0.32877858474063326,0.33085674641798635,A,A
1998,4787,3996,5982,-1998,-2992,1,1,0.6224260904673257,0.6567225731105883,A,A
2000,4787,4000,5982,-2000,-2992,1,1,0.6920760465129538,0.7124266951977283,A,A
2003,4787,4006,5982,-2003,-2992,1,1,0.9020293304868983,0.8844562399641169,A,A
2005,4787,4010,5994,-2005,-2998,1,1,0.15497105459825233,0.1556084896784825,A,A
2008,4787,4016,5994,-2008,-2998,1,1,0.511636053573436,0.5437811418999469,A,A
2009,4787,4018,5994,-2009,-2998,1,1,0.03908449915822154,0.046636926221635844,A,A
2010,4787,4020,6006,-2010,-3004,1,1,0.6174502231884595,0.6403485791625139,A,A
2011,4787,4022,6006,-2011,-3004,1,1,0.02969049098499632,0.02540337192260267,A,A
2012,4787,4024,6006,-2012,-3004,1,1,0.392666982827082,0.41436990175995514,A,A
2014,4787,4028,6006,-2014,-3004,1,1,0.5201462226324929,0.5603876811308924,A,A
2015,4787,4030,6006,-2015,-3004,1,1,0.04040801141761741,0.046636926221635844,A,A
2018,4787,4036,6018,-2018,-3010,1,1,0.10359683997078328,0.09584927697217083,A,A
2019,4787,4038,6018,-2019,-3010,1,1,0.19374337812420417,0.20479149534265284,A,A
2020,4787,4040,6018,-2020,-3010,1,1,0.9443510968899013,0.9358892092224953,A,A
2021,4787,4042,6018,-2021,-3010,1,1,0.46849014280949375,0.4863973973956013,A,A
2022,4787,4044,6030,-2022,-3015,1,1,0.7373155984868632,0.7752105467541478,A,A
2026,4787,4052,6030,-2026,-3015,1,1,0.16431945696361383,0.17573684250755928,A,A
2029,4787,4058,6040,-2029,-3021,1,1,0.8548314669317515,0.836604570279811,A,A
2030,4787,4060,6040,-2030,-3021,1,1,0.6696749009444805,0.6865687000926515,A,A
2031,4787,4062,6040,-2031,-3021,1,1,0.09915750097621046,0.09584927697217083,A,A
2034,4787,4068,6052,-2034,-3027,1,1,0.5510356033156381,0.5738128596868537,A,A
2036,4787,4072,6052,-2036,-3027,1,1,0.4888062760965157,0.5057843245177359,A,A
2037,4787,4074,6052,-2037,-3027,1,1,0.18588896318449033,0.18991284810616926,A,A
2038,4787,4076,6052,-2038,-3027,1,1,0.5864187187103068,0.5970130310756897,A,A
2039,4787,4078,6064,-2039,-3033,1,1,0.8505230630781971,0.836604570279811,A,A
2040,4787,4080,6064,-2040,-3033,1,1,0.6332129320324322,0.6567225731105883,A,A
2041,4787,4082,6064,-2041,-3033,1,1,0.7682077223894709,0.7978402972390728,A,A
2042,4787,4084,6064,-2042,-3033,1,1,0.10641109694749529,0.11766008071769851,A,A
2044,4787,4088,6064,-2044,-3033,1,1,0.1642650866458556,0.17573684250755928,A,A
2047,4787,4094,6076,-2047,-3038,1,1,0.9042835303466485,0.8844562399641169,A,A
2048,4787,4096,6076,-2048,-3038,1,1,0.46452583449674234,0.4863973973956013,A,A
2049,4787,4098,6076,-2049,-3038,1,1,0.5628526468493731,0.5738128596868537,A,A
2051,4787,4102,6086,-2051,-3044,1,1,0.7482753722475324,0.7752105467541478,A,A
2053,4787,4106,6086,-2053,-3044,1,1,0.9046627554633557,0.8844562399641169,A,A
2054,4787,4108,6086,-2054,-3044,1,1,0.2452289330231182,0.2556376638625464,A,A
2055,4787,4110,6086,-2055,-3044,1,1,0.3738856601410966,0.3994271172644791,A,A
2057,4787,4114,6098,-2057,-3050,1,1,0.35918346586617456,0.36326959483172827,A,A
2059,4787,4118,6098,-2059,-3050,1,1,0.22680663810707813,0.2556376638625464,A,A
2060,4787,4120,6098,-2060,-3050,1,1,0.9726148226350092,0.9708335991200716,A,A
2061,4787,4122,6098,-2061,-3050,1,1,0.4299529519748322,0.45443658440763757,A,A
2063,4787,4126,6110,-2063,-3056,1,1,0.8628426423189842,0.8483288367488273,A,A
2064,4787,4128,6110,-2064,-3056,1,1,0.6512799177745784,0.6676345312549455,A,A
2065,4787,4130,6110,-2065,-3056,1,1,0.4955247842583108,0.5057843245177359,A,A
2067,4787,4134,6110,-2067,-3056,1,1,0.9575383579849276,0.9358892092224953,A,A
2068,4787,4136,6122,-2068,-3062,1,1,0.21972966335891964,0.2200783515824032,A,A
2069,4787,4138,6122,-2069,-3062,1,1,0.6188104716609718,0.6403485791625139,A,A
2071,4787,4142,6122,-2071,-3062,1,1,0.15866752999780054,0.17573684250755928,A,A
2072,4787,4144,6122,-2072,-3062,1,1,0.5815682714264501,0.5738128596868537,A,A
2074,4787,4148,6134,-2074,-3067,1,1,0.13603781907097745,0.14001508031831478,A,A
2075,4787,4150,6134,-2075,-3067,1,1,0.12397701076009726,0.11766008071769851,A,A
2079,4787,4158,6144,-2079,-3073,1,1,0.9887047521646695,0.9867277963524416,A,A
2080,4787,4160,6144,-2080,-3073,1,1,0.5371281621530575,0.5738128596868537,A,A
2083,4787,4166,6144,-2083,-3073,1,1,0.9250739121959811,0.9155804834289545,A,A
2084,4787,4168,6144,-2084,-3073,1,1,0.37172753689179006,0.3994271172644791,A,A
2090,4787,4180,6156,-2090,-3079,1,1,0.19036145825709072,0.20479149534265284,A,A
2092,4787,4184,6168,-2092,-3085,1,1,0.7968843356000147,0.81093086149687,A,A
2093,4787,4186,6168,-2093,-3085,1,1,0.4584134806346578,0.4863973973956013,A,A
2094,4787,4188,6168,-2094,-3085,1,1,0.2275493795638367,0.2556376638625464,A,A
2095,4787,4190,6168,-2095,-3085,1,1,0.1497340850710892,0.1556084896784825,A,A
2096,4787,4192,6168,-2096,-3085,1,1,0.6199793730309391,0.6403485791625139,A,A
2097,4787,4194,6180,-2097,-3091,1,1,0.5001601482724661,0.5184576116122209,A,A
2098,4787,4196,6180,-2098,-3091,1,1,0.28781300824167033,0.29312155847436416,A,A
2099,4787,4198,6180,-2099,-3091,1,1,0.9485255371698378,0.9358892092224953,A,A
2103,4787,4206,6192,-2103,-3096,1,1,0.17226865257555002,0.18991284810616926,A,A
2104,4787,4208,6192,-2104,-3096,1,1,0.3921840496890653,0.41436990175995514,A,A
2105,4787,4210,6192,-2105,-3096,1,1,0.5492633972616967,0.5738128596868537,A,A
2107,4787,4214,6192,-2107,-3096,1,1,0.4019613690313628,0.43084017934406293,A,A
2109,4787,4218,6202,-2109,-3102,1,1,0.7231898306046227,0.7650504588350444,A,A
2113,4787,4226,6202,-2113,-3102,1,1,0.3819607269395564,0.41436990175995514,A,A
2115,4787,4230,6214,-2115,-3108,1,1,0.5864178341636732,0.5970130310756897,A,A
2116,4787,4232,6214,-2116,-3108,1,1,0.9903829861159332,0.9867277963524416,A,A
2117,4787,4234,6214,-2117,-3108,1,1,0.40792127620737306,0.43084017934406293,A,A
2118,4787,4236,6214,-2118,-3108,1,1,0.16849576671682098,0.18991284810616926,A,A
2119,4787,4238,6214,-2119,-3108,1,1,0.22348811840741178,0.23139716590926385,A,A
2122,4787,4244,6226,-2122,-3114,1,1,0.8688576668837227,0.8659373859054671,A,A
2123,4787,4246,6226,-2123,-3114,1,1,0.25469432613726906,0.2705870793149804,A,A
2124,4787,4248,6226,-2124,-3114,1,1,0.9108778393631544,0.897897211542344,A,A
2125,4787,4250,6226,-2125,-3114,1,1,0.15227184889792944,0.1556084896784825,A,A
2128,4787,4256,6238,-2128,-3120,1,1,0.44623194311024117,0.4863973973956013,A,A
2129,4787,4258,6238,-2129,-3120,1,1,0.8115346674401637,0.81093086149687,A,A
2130,4787,4260,6238,-2130,-3120,1,1,0.8903138700787162,0.8659373859054671,A,A
2132,4787,4264,6250,-2132,-3125,1,1,0.9048795444853772,0.8844562399641169,A,A
2135,4787,4270,6250,-2135,-3125,1,1,0.08343227514126861,0.08139052448728146,A,A
2136,4787,4272,6250,-2136,-3125,1,1,0.8862017307920507,0.8659373859054671,A,A
2139,4787,4278,6260,-2139,-3131,1,1,0.9013841969574511,0.8844562399641169,A,A
2140,4787,4280,6260,-2140,-3131,1,1,0.019775878221396814,0.009431753548861166,A,A
2141,4787,4282,6260,-2141,-3131,1,1,0.9956565607449973,0.9867277963524416,A,A
2142,4787,4284,6260,-2142,-3131,1,1,0.6232053930501994,0.6567225731105883,A,A
2143,4787,4286,6272,-2143,-3137,1,1,0.43719815352378943,0.4686479736942557,A,A
2144,4787,4288,6272,-2144,-3137,1,1,0.5251674257666805,0.5603876811308924,A,A
2145,4787,4290,6272,-2145,-3137,1,1,0.9606080476232203,0.9556519694980462,A,A
2146,4787,4292,6272,-2146,-3137,1,1,0.7962361923109009,0.81093086149687,A,A
2148,4787,4296,6272,-2148,-3137,1,1,0.36225098711200154,0.36326959483172827,A,A
2149,4787,4298,6284,-2149,-3143,1,1,0.24654726468621269,0.2705870793149804,A,A
2150,4787,4300,6284,-2150,-3143,1,1,0.43638426445459666,0.4686479736942557,A,A
2151,4787,4302,6284,-2151,-3143,1,1,0.3244299588889442,0.33085674641798635,A,A
2153,4787,4306,6284,-2153,-3143,1,1,0.4896964537429205,0.5057843245177359,A,A
2155,4787,4310,6296,-2155,-3148,1,1,0.9240209407803606,0.9155804834289545,A,A
2158,4787,4316,6296,-2158,-3148,1,1,0.8562013472995553,0.8483288367488273,A,A
2159,4787,4318,6296,-2159,-3148,1,1,0.9410849271674921,0.9358892092224953,A,A
2160,4787,4320,6306,-2160,-3154,1,1,0.5093864177025549,0.5287072142744291,A,A
2164,4787,4328,6306,-2164,-3154,1,1,0.4207778617272512,0.45443658440763757,A,A
2165,4787,4330,6306,-2165,-3154,1,1,0.868113657740247,0.8483288367488273,A,A
2166,4787,4332,6318,-2166,-3160,1,1,0.6098014505255229,0.6185616736968093,A,A
2168,4787,4336,6318,-2168,-3160,1,1,0.25600008041373823,0.2705870793149804,A,A
2169,4787,4338,6318,-2169,-3160,1,1,0.36652639946655885,0.3838453928986345,A,A
2170,4787,4340,6318,-2170,-3160,1,1,0.015362985618663338,0.009431753548861166,A,A
2172,4787,4344,6330,-2172,-3166,1,1,0.9341609857632943,0.9155804834289545,A,A
2173,4787,4346,6330,-2173,-3166,1,1,0.3195963359822085,0.33085674641798635,A,A
2174,4787,4348,6330,-2174,-3166,1,1,0.34505460662560095,0.34394625120281785,A,A
2175,4787,4350,6330,-2175,-3166,1,1,0.8454262456937516,0.836604570279811,A,A
2176,4787,4352,6330,-2176,-3166,1,1,0.11375639937190096,0.11766008071769851,A,A
2184,4787,4368,6354,-2184,-3177,1,1,0.6801787568099819,0.7124266951977283,A,A
2186,4787,4372,6354,-2186,-3177,1,1,0.364748030599368,0.3838453928986345,A,A
2187,4787,4374,6354,-2187,-3177,1,1,0.408107639336447,0.45443658440763757,A,A
2189,4787,4378,6364,-2189,-3183,1,1,0.666644204040869,0.6865687000926515,A,A
2190,4787,4380,6364,-2190,-3183,1,1,0.8591879026343555,0.8483288367488273,A,A
2191,4787,4382,6364,-2191,-3183,1,1,0.3894524173755852,0.41436990175995514,A,A
2192,4787,4384,6364,-2192,-3183,1,1,0.4375121405311774,0.4686479736942557,A,A
2195,4787,4390,6376,-2195,-3189,1,1,0.09576545741484843,0.09584927697217083,A,A
2196,4787,4392,6376,-2196,-3189,1,1,0.11647894748410548,0.11766008071769851,A,A
2197,4787,4394,6376,-2197,-3189,1,1,0.8652068725450855,0.8483288367488273,A,A
2198,4787,4396,6376,-2198,-3189,1,1,0.043803898748470904,0.06575410935862658,A,A
2202,4787,4404,6388,-2202,-3195,1,1,0.3811706675950851,0.3994271172644791,A,A
2203,4787,4406,6388,-2203,-3195,1,1,0.13442387292164215,0.14001508031831478,A,A
2204,4787,4408,6388,-2204,-3195,1,1,0.6154427843779913,0.6403485791625139,A,A
2206,4787,4412,6388,-2206,-3195,1,1,0.22041899908405316,0.23139716590926385,A,A
2207,4787,4414,6400,-2207,-3201,1,1,0.7024663785915727,0.7248533491587095,A,A
2208,4787,4416,6400,-2208,-3201,1,1,0.9942700895910132,0.9867277963524416,A,A
2209,4787,4418,6400,-2209,-3201,1,1,0.3005301657955931,0.30887378737929305,A,A
2211,4787,4422,6400,-2211,-3201,1,1,0.7052948150613724,0.7248533491587095,A,A
2212,4787,4424,6400,-2212,-3201,1,1,0.8305811159100519,0.81093086149687,A,A
2213,4787,4426,6412,-2213,-3206,1,1,0.3310740237429085,0.34394625120281785,A,A
2214,4787,4428,6412,-2214,-3206,1,1,0.06309626711925698,0.08139052448728146,A,A
2215,4787,4430,6412,-2215,-3206,1,1,0.38169467712978367,0.3994271172644791,A,A
2217,4787,4434,6412,-2217,-3206,1,1,0.2740820706916216,0.29312155847436416,A,A
2218,4787,4436,6422,-2218,-3212,1,1,0.22036609614170655,0.23139716590926385,A,A
2219,4787,4438,6422,-2219,-3212,1,1,0.168217469894407,0.17573684250755928,A,A
2220,4787,4440,6422,-2220,-3212,1,1,0.39776255248836645,0.43084017934406293,A,A
2221,4787,4442,6422,-2221,-3212,1,1,0.1311318536272691,0.14001508031831478,A,A
2222,4787,4444,6422,-2222,-3212,1,1,0.035090927285217455,0.046636926221635844,A,A
2223,4787,4446,6422,-2223,-3212,1,1,0.5832974219420805,0.5970130310756897,A,A
2224,4787,4448,6434,-2224,-3218,1,1,0.3630826690282398,0.3838453928986345,A,A
2226,4787,4452,6434,-2226,-3218,1,1,0.7205344716986775,0.7650504588350444,A,A
2227,4787,4454,6434,-2227,-3218,1,1,0.28967581238257933,0.29312155847436416,A,A
2228,4787,4456,6434,-2228,-3218,1,1,0.5294853641284262,0.5603876811308924,A,A
2229,4787,4458,6434,-2229,-3218,1,1,0.13575200988301828,0.14001508031831478,A,A
2230,4787,4460,6446,-2230,-3224,1,1,0.5998111792957994,0.5970130310756897,A,A
2231,4787,4462,6446,-2231,-3224,1,1,0.15257842852144476,0.1556084896784825,A,A
2232,4787,4464,6446,-2232,-3224,1,1,0.14494706966142878,0.14001508031831478,A,A
2233,4787,4466,6446,-2233,-3224,1,1,0.9854624664177797,0.9867277963524416,A,A
2236,4787,4472,6458,-2236,-3230,1,1,0.6290859062437546,0.6567225731105883,A,A
2237,4787,4474,6458,-2237,-3230,1,1,0.1501248730665503,0.1556084896784825,A,A
2238,4787,4476,6458,-2238,-3230,1,1,0.5022320848472037,0.5184576116122209,A,A
2239,4787,4478,6458,-2239,-3230,1,1,0.020174307554296722,0.009431753548861166,A,A
2243,4787,4486,6470,-2243,-3235,1,1,0.8852895843767702,0.8659373859054671,A,A
2245,4787,4490,6470,-2245,-3235,1,1,0.4507786101099175,0.4863973973956013,A,A
2246,4787,4492,6470,-2246,-3235,1,1,0.338823904490525,0.34394625120281785,A,A
2247,4787,4494,6480,-2247,-3241,1,1,0.9095162461253129,0.897897211542344,A,A
2249,4787,4498,6480,-2249,-3241,1,1,0.7483960885656433,0.7752105467541478,A,A
