sex,sex-norace,age,age-norace,age_cat,age_cat-norace,race,race-norace,juv_fel_count,juv_fel_count-norace,juv_misd_count,juv_misd_count-norace,juv_other_count,juv_other_count-norace,priors_count,priors_count-norace,c_charge_degree,c_charge_degree-norace,c_charge_desc,c_charge_desc-norace,decile_score,decile_score-norace,score_text,score_text-norace
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,2,0,1,0,7,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,8,8,High,High
Male,Male,22,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,34,29,25 - 45,Less than 25,African-American,African-American,0,0,0,0,1,0,3,5,F,F,Lewd Act Presence Child 16-,arrest case no charge,1,1,Low,Low
Female,Male,53,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,4,5,F,F,Poss Contr Subst W/o Prescript,Possession of Cocaine,1,1,Low,Low
Male,Male,54,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Soliciting For Prostitution,Battery,1,1,Low,Low
Male,Male,51,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Felony Driving While Lic Suspd,Grand Theft in the 3rd Degree,7,7,Medium,Medium
Male,Male,33,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft (Motor Vehicle),Viol Injunct Domestic Violence,1,1,Low,Low
Male,Male,43,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,4,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,45,47,Greater than 45,Greater than 45,Hispanic,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,6,6,Medium,Medium
Male,Male,32,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,5,5,F,F,Resist Officer w/Violence,Battery,5,5,Medium,Medium
Male,Male,41,47,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,1,5,M,M,Aggrav Battery w/Deadly Weapon,arrest case no charge,1,1,Low,Low
Male,Male,25,29,25 - 45,25 - 45,Other,African-American,20,0,0,0,0,0,24,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Male,Male,69,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,6,5,F,F,Driving While License Revoked,Driving While License Revoked,2,2,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Asian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,31,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Viol Prot Injunc Repeat Viol,Possession of Cocaine,1,1,Low,Low
Male,Male,44,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Female,Female,46,47,Greater than 45,Greater than 45,Hispanic,African-American,0,0,0,0,0,0,2,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,1,1,Low,Low
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,Burglary Dwelling Occupied,arrest case no charge,9,9,High,High
Female,Male,31,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,9,9,High,High
Male,Male,39,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,M,M,Driving Under The Influence,"Poss3,4 Methylenedioxymethcath",4,4,Low,Low
Female,Female,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,28,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,8,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,8,8,High,High
Male,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,3,5,M,M,Driving Under The Influence,Grand Theft in the 3rd Degree,1,1,Low,Low
Male,Male,58,47,Greater than 45,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,44,29,25 - 45,25 - 45,African-American,African-American,2,0,0,0,0,0,19,5,M,M,Battery,Battery,9,9,High,High
Female,Female,39,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,5,5,Medium,Medium
Male,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,M,M,Battery,Battery,10,10,High,High
Male,Male,43,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Susp Drivers Lic 1st Offense,Grand Theft in the 3rd Degree,1,1,Low,Low
Male,Male,44,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,10,5,M,M,Driving Under The Influence,arrest case no charge,4,4,Low,Low
Male,Male,23,29,Less than 25,Greater than 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Pos Cannabis W/Intent Sel/Del,arrest case no charge,3,3,Low,Low
Male,Male,56,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,4,5,F,F,Possession of Cocaine,Possession of Cocaine,1,1,Low,Low
Male,Male,39,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,23,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Viol Pretrial Release Dom Viol,arrest case no charge,8,8,High,High
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Felony Battery,arrest case no charge,8,8,High,High
Female,Female,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,1,0,2,5,F,F,Possession Burglary Tools,Battery,9,9,High,High
Male,Male,36,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft in the 3rd Degree,Battery,1,1,Low,Low
Male,Male,21,29,Less than 25,Less than 25,Other,African-American,0,0,2,0,0,0,3,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,2,2,Low,Low
Male,Male,35,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,7,5,F,F,Resist Officer w/Violence,Battery,4,4,Low,Low
Male,Male,36,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,0,5,M,M,Operating W/O Valid License,Felony Battery (Dom Strang),1,1,Low,Low
Male,Male,24,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,2,5,M,M,Susp Drivers Lic 1st Offense,arrest case no charge,7,7,Medium,Medium
Male,Male,21,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,1,0,0,5,F,F,Grand Theft in the 3rd Degree,Viol Injunct Domestic Violence,9,9,High,High
Male,Male,32,29,25 - 45,25 - 45,Caucasian,African-American,2,0,0,0,1,0,15,5,F,F,Possession of Cocaine,arrest case no charge,9,9,High,High
Male,Male,50,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,8,5,F,F,DWI w/Inj Susp Lic / Habit Off,Battery,3,3,Low,Low
Male,Male,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,14,5,F,F,Driving While License Revoked,Viol Injunct Domestic Violence,8,8,High,High
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,9,5,F,F,Burglary Unoccupied Dwelling,Battery,7,7,Medium,Medium
Male,Male,21,29,Less than 25,Less than 25,Hispanic,African-American,0,0,0,0,0,0,1,5,M,M,Possess Cannabis/20 Grams Or Less,Criminal Mischief,5,5,Medium,Medium
Male,Male,58,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,24,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,3,5,M,M,arrest case no charge,arrest case no charge,7,7,Medium,Medium
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,6,5,F,F,Possession of Cannabis,Possession of Cannabis,9,9,High,High
Male,Male,23,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,M,Burglary Unoccupied Dwelling,Battery,5,5,Medium,Medium
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,False Imprisonment,False Imprisonment,9,9,High,High
Male,Male,38,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,4,4,Low,Low
Male,Male,23,29,Less than 25,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft (Motor Vehicle),arrest case no charge,3,3,Low,Low
Male,Male,35,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Violation License Restrictions,arrest case no charge,2,2,Low,Low
Male,Male,40,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Stalking (Aggravated),Possession of Cocaine,2,2,Low,Low
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,1,0,0,0,1,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,4,4,Low,Low
Female,Male,24,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,6,5,M,M,arrest case no charge,arrest case no charge,6,6,Medium,Medium
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Uttering a Forged Instrument,Uttering a Forged Instrument,4,4,Low,Low
Male,Male,22,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Pos Cannabis W/Intent Sel/Del,Pos Cannabis W/Intent Sel/Del,3,3,Low,Low
Male,Male,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,34,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Cocaine,Possession of Cocaine,4,4,Low,Low
Male,Male,22,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,2,2,Low,Low
Male,Male,28,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,3,5,M,M,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,59,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,3,5,M,M,Driving Under The Influence,Battery,1,1,Low,Low
Male,Male,37,47,25 - 45,25 - 45,Native American,African-American,0,0,0,0,0,0,0,5,F,F,"Aggr Child Abuse-Torture,Punish",Possession of Cocaine,2,2,Low,Low
Male,Male,44,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,9,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,8,8,High,High
Male,Male,55,47,Greater than 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI - Enhanced,arrest case no charge,1,1,Low,Low
Male,Male,21,29,Less than 25,Greater than 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,6,6,Medium,Medium
Male,Male,58,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI Blood Alcohol Above 0.20,Battery,1,1,Low,Low
Male,Male,22,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,1,0,1,5,F,M,Pos Cannabis W/Intent Sel/Del,Pos Cannabis W/Intent Sel/Del,7,7,Medium,Medium
Male,Male,31,29,25 - 45,Less than 25,Other,African-American,0,0,0,0,0,0,5,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,6,6,Medium,Medium
Female,Male,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,1,1,Low,Low
Female,Female,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,56,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,38,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,3,3,Low,Low
Female,Male,40,29,25 - 45,Less than 25,African-American,African-American,0,0,0,0,0,0,4,5,M,M,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,51,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,35,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,61,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,Possession of Cocaine,Driving While License Revoked,2,2,Low,Low
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Poss Unlaw Issue Driver Licenc,arrest case no charge,3,3,Low,Low
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,4,5,F,F,Felony Driving While Lic Suspd,arrest case no charge,7,7,Medium,Medium
Male,Male,42,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,1,1,Low,Low
Female,Female,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Grand Theft in the 3rd Degree,Battery,4,4,Low,Low
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,0,0,1,0,0,0,13,5,M,M,Driving License Suspended,Battery,10,10,High,High
Male,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,9,5,F,F,Poss of Methylethcathinone,arrest case no charge,7,7,Medium,Medium
Female,Female,33,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,31,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,16,5,F,F,Burglary Conveyance Unoccup,Battery,10,10,High,High
Female,Female,23,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,4,4,Low,Low
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Burglary Conveyance Unoccup,Driving While License Revoked,6,6,Medium,Medium
Female,Male,24,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,46,29,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,1,0,2,5,M,M,Possess Cannabis/20 Grams Or Less,Battery,4,4,Low,Low
Male,Male,56,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,2,2,Low,Low
Male,Male,30,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,5,5,F,F,arrest case no charge,arrest case no charge,3,3,Low,Low
Male,Male,24,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,4,4,Low,Low
Female,Female,33,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,33,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,11,5,F,F,"Poss 3,4 MDMA (Ecstasy)",Battery,6,6,Medium,Medium
Male,Male,25,29,25 - 45,Less than 25,Hispanic,African-American,0,0,0,0,0,0,0,5,F,F,Poss Contr Subst W/o Prescript,Battery,7,7,Medium,Medium
Male,Male,37,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,0,5,F,F,Tamper With Witness/Victim/CI,Grand Theft in the 3rd Degree,3,3,Low,Low
Male,Male,39,47,25 - 45,25 - 45,Other,African-American,0,0,1,0,0,0,4,5,F,F,Poss Pyrrolidinovalerophenone,Battery,2,2,Low,Low
Male,Male,29,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,1,0,7,5,M,M,Battery,Battery,7,7,Medium,Medium
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,2,0,0,0,0,0,4,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Male,Male,41,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,4,5,F,F,Child Abuse,Grand Theft in the 3rd Degree,5,5,Medium,Medium
Male,Male,22,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,2,0,5,5,F,F,Possession Of Alprazolam,Possession of Cocaine,8,8,High,High
Male,Male,42,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Felony Driving While Lic Suspd,arrest case no charge,4,4,Low,Low
Male,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Possess Cannabis/20 Grams Or Less,Battery,1,1,Low,Low
Female,Male,27,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,2,2,Low,Low
Female,Female,30,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,3,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,26,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,4,4,Low,Low
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,4,5,F,F,arrest case no charge,arrest case no charge,8,8,High,High
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,12,5,F,F,Possession of Cocaine,arrest case no charge,10,10,High,High
Male,Male,41,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI Property Damage/Injury,Battery,1,1,Low,Low
Male,Male,23,29,Less than 25,25 - 45,African-American,African-American,1,0,0,0,0,0,2,5,F,F,Deliver Cocaine,Battery,7,7,Medium,Medium
Male,Male,52,47,Greater than 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,2,0,0,0,5,5,M,M,DUI Level 0.15 Or Minor In Veh,DUI Level 0.15 Or Minor In Veh,7,7,Medium,Medium
Male,Male,21,29,Less than 25,Greater than 45,African-American,African-American,0,0,1,0,0,0,1,5,F,F,arrest case no charge,Battery,10,10,High,High
Male,Male,70,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI Property Damage/Injury,Grand Theft in the 3rd Degree,1,1,Low,Low
Male,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,11,5,F,F,Deliver Cannabis,arrest case no charge,9,9,High,High
Male,Male,46,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,Agg Fleeing and Eluding,Battery,5,5,Medium,Medium
Male,Male,43,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,18,5,F,F,arrest case no charge,Battery,4,4,Low,Low
Male,Male,38,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,15,5,F,F,Aggravated Assault w/Firearm,arrest case no charge,6,6,Medium,Medium
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,M,Crim Use of Personal ID Info,Possession of Cocaine,4,4,Low,Low
Male,Male,44,47,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,0,5,M,M,Driving Under The Influence,Battery,1,1,Low,Low
Female,Female,30,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,40,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Driving While License Revoked,Driving While License Revoked,2,2,Low,Low
Male,Male,31,29,25 - 45,25 - 45,Hispanic,African-American,0,0,1,0,0,0,1,5,M,F,Possess Cannabis/20 Grams Or Less,arrest case no charge,3,3,Low,Low
Male,Male,30,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,Use Of 2 Way Device To Fac Fel,arrest case no charge,4,4,Low,Low
Male,Male,62,47,Greater than 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Assault,Felony Battery (Dom Strang),1,1,Low,Low
Male,Male,48,47,Greater than 45,Less than 25,Caucasian,African-American,0,0,0,0,0,0,9,5,F,F,Grand Theft (Motor Vehicle),Possession of Cannabis,6,6,Medium,Medium
Female,Female,40,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Cocaine,Battery,2,2,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession Of Methamphetamine,Battery,4,4,Low,Low
Male,Male,22,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,63,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI Property Damage/Injury,Battery,1,1,Low,Low
Male,Male,43,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Driving Under The Influence,Battery,4,4,Low,Low
Male,Male,39,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,3,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,32,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,14,5,F,M,Felony Driving While Lic Suspd,arrest case no charge,8,8,High,High
Male,Male,38,29,25 - 45,25 - 45,African-American,African-American,0,0,5,0,0,0,37,5,M,M,arrest case no charge,arrest case no charge,7,7,Medium,Medium
Male,Male,42,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,38,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,F,F,Burglary Dwelling Assault/Batt,Battery,7,7,Medium,Medium
Male,Male,43,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Deliver Cannabis,Felony Battery (Dom Strang),4,4,Low,Low
Male,Male,40,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,2,0,0,0,15,5,F,F,Possession of Cocaine,Possession of Cocaine,9,9,High,High
Male,Male,52,47,Greater than 45,Greater than 45,Hispanic,African-American,0,0,0,0,0,0,9,5,F,F,Felony Petit Theft,Uttering a Forged Instrument,7,7,Medium,Medium
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,DUI/Property Damage/Persnl Inj,Battery,2,2,Low,Low
Male,Male,35,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,6,5,F,F,Battery on a Person Over 65,Uttering a Forged Instrument,5,5,Medium,Medium
Male,Male,52,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Viol Injunct Domestic Violence,Viol Injunct Domestic Violence,1,1,Low,Low
Male,Male,48,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,DUI Level 0.15 Or Minor In Veh,arrest case no charge,1,1,Low,Low
Male,Male,31,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,10,5,F,M,arrest case no charge,arrest case no charge,6,6,Medium,Medium
Male,Male,21,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,3,5,F,F,Pos Cannabis W/Intent Sel/Del,Pos Cannabis W/Intent Sel/Del,8,8,High,High
Male,Male,32,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,F,F,Tamper With Witness/Victim/CI,Felony Battery (Dom Strang),1,1,Low,Low
Male,Male,35,29,25 - 45,25 - 45,African-American,African-American,3,0,0,0,0,0,13,5,F,F,Possession of Cocaine,Possession of Cocaine,10,10,High,High
Male,Male,34,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,52,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,21,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,8,8,High,High
Male,Male,53,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Aggravated Assault W/Dead Weap,Battery,1,1,Low,Low
Male,Male,36,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,3,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,7,5,F,F,arrest case no charge,Uttering a Forged Instrument,5,5,Medium,Medium
Male,Male,42,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Possession of Cocaine,Agg Battery Grt/Bod/Harm,2,2,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Hispanic,African-American,1,0,0,0,0,0,6,5,F,F,"Deliver 3,4 Methylenediox",Battery,10,10,High,High
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,1,0,0,0,21,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Male,Male,21,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft in the 3rd Degree,Criminal Mischief,6,6,Medium,Medium
Female,Female,28,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,25,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Male,Male,26,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,6,6,Medium,Medium
Male,Male,36,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Felony Battery (Dom Strang),Felony Battery (Dom Strang),1,1,Low,Low
Female,Female,35,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,12,5,F,F,Possession Of Alprazolam,arrest case no charge,7,7,Medium,Medium
Male,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,39,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,Solicit Deliver Cocaine,Possession of Cocaine,3,3,Low,Low
Male,Male,23,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,1,5,F,F,arrest case no charge,Battery,2,2,Low,Low
Male,Male,43,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,5,5,F,F,Burglary Structure Unoccup,Battery,5,5,Medium,Medium
Male,Male,28,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,6,5,M,M,arrest case no charge,arrest case no charge,8,8,High,High
